Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
500,7,515,485,1000,1,0.257277,10,0.204111,20033,20033,2,0,0.989741,0,2
500,7,515,485,1000,1,0.327464,10,0.168184,20033,20033,5,0,0.855444,0,5
500,7,515,485,1000,1,0.352411,10,0.204111,20033,20033,2,1,1.42779,0,3
500,7,515,485,1000,1,0.175285,10,0.147885,20033,20033,2,1,1.42027,0,3
500,7,515,485,1000,1,0.294331,10,0.168184,20033,20033,1,3,1.21742,0,4
500,7,515,485,1000,1,0.327464,10,0.214542,20033,20033,2,1,0.578295,0,3
500,7,515,485,1000,1,0.232291,10,0.204426,20033,20033,3,2,0.939579,0,5
500,7,515,485,1000,1,0.192824,10,0.204426,20033,20033,3,2,0.636784,0,5
500,7,515,485,1000,1,0.352411,10,0.216501,20033,20033,4,0,1.44008,0,4
500,7,515,485,1000,1,0.173231,10,0.214542,20033,20033,4,1,1.40484,0,5
500,7,515,485,1000,1,0.21923,10,0.220307,20033,20033,3,0,0.849211,0,3
500,7,515,485,1000,1,0.24906,10,0.204426,20033,20033,1,2,0.553939,0,3
500,7,515,485,1000,1,0.352411,10,0.216411,20033,20033,0,2,0.790957,0,2
500,7,515,485,1000,1,0.317863,10,0.204426,20033,20033,3,1,0.958165,0,4
500,7,515,485,1000,1,0.352411,10,0.204111,20033,20033,1,2,1.14875,0,3
500,7,515,485,1000,1,0.242416,10,0.204426,20033,20033,4,1,1.3598,0,5
500,7,515,485,1000,1,0.257277,10,0.17042,20033,20033,1,0,1.43582,0,1
500,7,515,485,1000,1,0.173231,10,0.214542,20033,20033,3,4,1.00705,0,7
500,7,515,485,1000,1,0.294331,10,0.182331,20033,20033,4,0,1.27009,0,4
500,7,515,485,1000,1,0.209095,10,0.168184,20033,20033,5,2,0.826814,0,7
500,7,515,485,1000,1,0.317863,10,0.19014,20033,20033,1,1,0.692527,0,2
500,7,515,485,1000,1,0.327464,10,0.214542,20033,20033,3,5,1.45337,0,8
500,7,515,485,1000,1,0.209095,10,0.211798,20033,20033,5,1,1.05313,0,6
500,7,515,485,1000,1,0.276114,10,0.168184,20033,20033,0,2,1.0446,0,2
500,7,515,485,1000,1,0.209095,10,0.220307,20033,20033,2,3,1.261,0,5
500,7,515,485,1000,1,0.257277,10,0.19014,20033,20033,1,1,1.06538,0,2
500,7,515,485,1000,1,0.212538,10,0.204426,20033,20033,2,2,1.33191,0,4
500,7,515,485,1000,1,0.276114,10,0.182331,20033,20033,3,0,1.44482,0,3
500,7,515,485,1000,1,0.334713,10,0.214542,20033,20033,4,1,1.13196,0,5
500,7,515,485,1000,1,0.244948,10,0.204426,20033,20033,3,1,1.307,0,4
500,7,515,485,1000,1,0.173231,10,0.215741,20033,20033,1,3,0.582689,0,4
500,7,515,485,1000,1,0.225401,10,0.204426,20033,20033,0,0,1.34718,0,0
500,7,515,485,1000,1,0.209095,10,0.204426,20033,20033,3,1,1.27819,0,4
500,7,515,485,1000,1,0.352411,10,0.199388,20033,20033,1,3,0.700205,0,4
500,7,515,485,1000,1,0.173231,10,0.19014,20033,20033,2,1,0.775208,0,3
500,7,515,485,1000,1,0.294331,10,0.168184,20033,20033,1,1,0.771939,0,2
500,7,515,485,1000,1,0.294331,10,0.216411,20033,20033,1,1,1.44301,0,2
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,1,1,0.981269,0,2
500,7,515,485,1000,1,0.21923,10,0.182331,20033,20033,3,4,0.789042,0,7
500,7,515,485,1000,1,0.24906,10,0.168184,20033,20033,1,6,0.888277,0,7
500,7,515,485,1000,1,0.27832,10,0.204002,20033,20033,1,1,0.542073,0,2
500,7,515,485,1000,1,0.352411,10,0.204426,20033,20033,3,1,0.64447,0,4
500,7,515,485,1000,1,0.300101,10,0.216411,20033,20033,2,0,1.45651,0,2
500,7,515,485,1000,1,0.352411,10,0.216501,20033,20033,0,1,1.04438,0,1
500,7,515,485,1000,1,0.327464,10,0.168184,20033,20033,2,1,1.41339,0,3
500,7,515,485,1000,1,0.352411,10,0.204426,20033,20033,2,0,1.07063,0,2
500,7,515,485,1000,1,0.24906,10,0.15945,20033,20033,2,0,1.26137,0,2
500,7,515,485,1000,1,0.209095,10,0.19014,20033,20033,0,1,1.32084,0,1
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,0,2,1.39025,0,2
500,7,515,485,1000,1,0.244948,10,0.204426,20033,20033,2,1,1.38457,0,3
500,7,515,485,1000,1,0.363402,10,0.224137,20033,20033,3,2,0.821287,0,5
500,7,515,485,1000,1,0.352411,10,0.204426,20033,20033,1,2,0.653962,0,3
500,7,515,485,1000,1,0.209095,10,0.204426,20033,20033,3,4,0.71856,0,7
500,7,515,485,1000,1,0.33624,10,0.204426,20033,20033,1,0,0.702131,0,1
500,7,515,485,1000,1,0.294331,10,0.204111,20033,20033,2,3,0.943598,0,5
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,4,0,0.925438,0,4
500,7,515,485,1000,1,0.209095,10,0.204111,20033,20033,4,2,0.977206,0,6
500,7,515,485,1000,1,0.277095,10,0.204426,20033,20033,2,1,0.608655,0,3
500,7,515,485,1000,1,0.257277,10,0.217913,20033,20033,1,3,1.30958,0,4
500,7,515,485,1000,1,0.212538,10,0.199388,20033,20033,1,3,1.2971,0,4
500,7,515,485,1000,1,0.232291,10,0.204426,20033,20033,4,1,1.4775,0,5
500,7,515,485,1000,1,0.154309,10,0.19014,20033,20033,0,1,1.47036,0,1
500,7,515,485,1000,1,0.317863,10,0.197423,20033,20033,1,0,1.28441,0,1
500,7,515,485,1000,1,0.225401,10,0.217913,20033,20033,0,2,0.521178,0,2
500,7,515,485,1000,1,0.352411,10,0.199388,20033,20033,2,1,1.09484,0,3
500,7,515,485,1000,1,0.242416,10,0.199388,20033,20033,3,2,0.89441,0,5
500,7,515,485,1000,1,0.294331,10,0.211798,20033,20033,1,2,1.24727,0,3
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,3,1,0.710168,0,4
500,7,515,485,1000,1,0.294331,10,0.25166,20033,20033,3,3,0.534401,0,6
500,7,515,485,1000,1,0.236603,10,0.217913,20033,20033,1,0,0.85673,0,1
500,7,515,485,1000,1,0.352411,10,0.19014,20033,20033,0,1,0.820469,0,1
500,7,515,485,1000,1,0.21923,10,0.182331,20033,20033,2,0,1.12196,0,2
500,7,515,485,1000,1,0.294331,10,0.182331,20033,20033,1,0,1.43002,0,1
500,7,515,485,1000,1,0.173231,10,0.199388,20033,20033,2,0,0.953866,0,2
500,7,515,485,1000,1,0.257277,10,0.19014,20033,20033,2,2,0.920558,0,4
500,7,515,485,1000,1,0.327464,10,0.217913,20033,20033,3,3,1.38744,0,6
500,7,515,485,1000,1,0.173231,10,0.204111,20033,20033,1,0,1.02926,0,1
500,7,515,485,1000,1,0.177577,10,0.168184,20033,20033,1,3,0.894664,0,4
500,7,515,485,1000,1,0.257277,10,0.187677,20033,20033,2,3,1.07932,0,5
500,7,515,485,1000,1,0.232291,10,0.204111,20033,20033,2,1,0.771865,0,3
500,7,515,485,1000,1,0.352411,10,0.204426,20033,20033,1,1,0.658197,0,2
500,7,515,485,1000,1,0.294331,10,0.204111,20033,20033,3,0,0.52381,0,3
500,7,515,485,1000,1,0.257277,10,0.168184,20033,20033,3,1,0.885803,0,4
500,7,515,485,1000,1,0.313052,10,0.204426,20033,20033,4,2,1.05605,0,6
500,7,515,485,1000,1,0.209095,10,0.15945,20033,20033,1,1,1.40685,0,2
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,2,2,0.731862,0,4
500,7,515,485,1000,1,0.244948,10,0.204111,20033,20033,4,2,0.90784,0,6
500,7,515,485,1000,1,0.177577,10,0.204426,20033,20033,1,6,1.49813,0,7
500,7,515,485,1000,1,0.276114,10,0.216411,20033,20033,2,1,0.958588,0,3
500,7,515,485,1000,1,0.301186,10,0.216411,20033,20033,3,0,1.4436,0,3
500,7,515,485,1000,1,0.329003,10,0.15945,20033,20033,3,2,0.823295,0,5
500,7,515,485,1000,1,0.173231,10,0.207847,20033,20033,0,0,1.42862,0,0
500,7,515,485,1000,1,0.352411,10,0.204111,20033,20033,3,1,1.28016,0,4
500,7,515,485,1000,1,0.233372,10,0.204111,20033,20033,3,1,1.10797,0,4
500,7,515,485,1000,1,0.327464,10,0.204426,20033,20033,2,0,1.06915,0,2
500,7,515,485,1000,1,0.294331,10,0.216411,20033,20033,2,3,1.34263,0,5
500,7,515,485,1000,1,0.168641,10,0.182331,20033,20033,1,0,1.0799,0,1
500,7,515,485,1000,1,0.294331,10,0.19014,20033,20033,1,3,0.770908,0,4
500,7,515,485,1000,1,0.277095,10,0.216501,20033,20033,2,6,1.21689,0,8
500,7,515,485,1000,1,0.242587,10,0.19014,20033,20033,4,1,0.701072,0,5
