Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
10000,13,484,516,1000,1,0.106293,10,0.0480113,20033,20033,2,1,1.03352,0,3
10000,13,484,516,1000,1,0.136186,10,0.0750813,20033,20033,1,1,1.02814,0,2
10000,13,484,516,1000,1,0.2293,10,0.00513273,20033,20033,1,6,0.98863,0,7
10000,13,484,516,1000,1,-0.0581083,10,0.095927,20033,20033,3,3,0.968866,0,6
10000,13,484,516,1000,1,0.263569,10,0.0543925,20033,20033,2,0,1.00618,0,2
10000,13,484,516,1000,1,0.101937,10,0.096478,20033,20033,3,3,0.979818,0,6
10000,13,484,516,1000,1,0.00636154,10,0.0408533,20033,20033,4,0,1.04122,0,4
10000,13,484,516,1000,1,0.119557,10,0.0392934,20033,20033,6,0,1.00182,0,6
10000,13,484,516,1000,1,0.0202631,10,0.0604516,20033,20033,2,0,0.966131,0,2
10000,13,484,516,1000,1,0.0647588,10,0.0392934,20033,20033,1,0,0.95241,0,1
10000,13,484,516,1000,1,0.263569,10,0.0604516,20033,20033,3,2,1.03638,0,5
10000,13,484,516,1000,1,0.122349,10,0.0330722,20033,20033,1,0,1.02108,0,1
10000,13,484,516,1000,1,0.0282822,10,0.100296,20033,20033,2,3,0.997378,0,5
10000,13,484,516,1000,1,0.0647588,10,0.00823353,20033,20033,5,2,1.02889,0,7
10000,13,484,516,1000,1,0.0492728,10,0.0118938,20033,20033,3,0,0.961931,0,3
10000,13,484,516,1000,1,0.0390682,10,0.0604516,20033,20033,2,1,1.03109,0,3
10000,13,484,516,1000,1,0.0956418,10,0.0901759,20033,20033,1,0,0.968662,0,1
10000,13,484,516,1000,1,0.00636154,10,0.000158692,20033,20033,3,1,0.959941,0,4
10000,13,484,516,1000,1,-0.134088,10,0.00251255,20033,20033,1,1,0.969028,0,2
10000,13,484,516,1000,1,0.0956418,10,0.00642006,20033,20033,0,0,0.998462,0,0
10000,13,484,516,1000,1,0.130505,10,0.0265318,20033,20033,1,2,1.03373,0,3
10000,13,484,516,1000,1,-0.0741152,10,0.000158692,20033,20033,2,1,1.00863,0,3
10000,13,484,516,1000,1,0.136186,10,0.167136,20033,20033,3,2,0.974438,0,5
10000,13,484,516,1000,1,0.263569,10,0.0118938,20033,20033,1,3,0.99846,0,4
10000,13,484,516,1000,1,0.122349,10,0.096478,20033,20033,1,2,0.955289,0,3
10000,13,484,516,1000,1,0.0492728,10,0.0392934,20033,20033,1,1,0.96492,0,2
10000,13,484,516,1000,1,0.0390682,10,0.000158692,20033,20033,3,0,0.966827,0,3
10000,13,484,516,1000,1,0.122349,10,0.0338784,20033,20033,1,3,1.00694,0,4
10000,13,484,516,1000,1,0.119557,10,0.00823353,20033,20033,9,1,0.990234,0,10
10000,13,484,516,1000,1,0.263569,10,0.0206309,20033,20033,4,2,1.00356,0,6
10000,13,484,516,1000,1,0.106293,10,0.0875451,20033,20033,1,0,1.00067,0,1
10000,13,484,516,1000,1,0.00636154,10,0.0908907,20033,20033,1,1,1.01676,0,2
10000,13,484,516,1000,1,0.130505,10,0.0169897,20033,20033,1,0,0.975858,0,1
10000,13,484,516,1000,1,0.0253451,10,0.043523,20033,20033,2,1,1.01247,0,3
10000,13,484,516,1000,1,0.263569,10,0.0392934,20033,20033,3,0,1.01099,0,3
10000,13,484,516,1000,1,0.00636154,10,0.000158692,20033,20033,0,2,0.95639,0,2
10000,13,484,516,1000,1,0.0790253,10,0.0991574,20033,20033,3,1,0.959196,0,4
10000,13,484,516,1000,1,0.0287021,10,0.0908907,20033,20033,4,1,0.958803,0,5
10000,13,484,516,1000,1,0.000696136,10,0.00823353,20033,20033,3,0,0.994779,0,3
10000,13,484,516,1000,1,0.0705787,10,0.000158692,20033,20033,2,5,0.983331,0,7
10000,13,484,516,1000,1,-0.0927346,10,0.0265318,20033,20033,3,1,1.01654,0,4
10000,13,484,516,1000,1,0.00207355,10,0.0875451,20033,20033,1,0,1.03853,0,1
10000,13,484,516,1000,1,0.00636154,10,0.000158692,20033,20033,2,1,1.03055,0,3
10000,13,484,516,1000,1,-0.154847,10,0.0745253,20033,20033,1,1,1.04277,0,2
10000,13,484,516,1000,1,0.000696136,10,0.000158692,20033,20033,1,0,0.967019,0,1
10000,13,484,516,1000,1,0.0492728,10,0.0392934,20033,20033,1,0,1.02366,0,1
10000,13,484,516,1000,1,0.136186,10,0.0991574,20033,20033,1,3,0.999274,0,4
10000,13,484,516,1000,1,0.106293,10,0.0604516,20033,20033,1,0,1.04703,0,1
10000,13,484,516,1000,1,-0.00329631,10,0.000158692,20033,20033,2,1,1.02072,0,3
10000,13,484,516,1000,1,0.0492728,10,0.0572636,20033,20033,2,0,1.00409,0,2
10000,13,484,516,1000,1,0.000696136,10,0.0604516,20033,20033,3,0,1.0073,0,3
10000,13,484,516,1000,1,0.0202631,10,0.0265318,20033,20033,3,0,0.999964,0,3
10000,13,484,516,1000,1,0.0492728,10,0.0265318,20033,20033,2,0,0.988868,0,2
10000,13,484,516,1000,1,0.106293,10,0.0169897,20033,20033,1,1,0.978744,0,2
10000,13,484,516,1000,1,0.000696136,10,0.00513273,20033,20033,4,1,0.967848,0,5
10000,13,484,516,1000,1,0.136186,10,0.0875451,20033,20033,1,1,0.977069,0,2
10000,13,484,516,1000,1,0.111961,10,0.0392934,20033,20033,3,1,0.974052,0,4
10000,13,484,516,1000,1,0.0297692,10,0.00513273,20033,20033,1,4,1.01391,0,5
10000,13,484,516,1000,1,0.263569,10,0.096478,20033,20033,1,2,1.00068,0,3
10000,13,484,516,1000,1,0.00636154,10,0.000158692,20033,20033,1,3,1.01395,0,4
10000,13,484,516,1000,1,-0.115929,10,0.0343971,20033,20033,2,1,0.96855,0,3
10000,13,484,516,1000,1,0.0956418,10,0.00251255,20033,20033,4,3,0.98654,0,7
10000,13,484,516,1000,1,0.113457,10,0.000158692,20033,20033,2,3,1.01902,0,5
10000,13,484,516,1000,1,0.0297692,10,0.0392934,20033,20033,2,1,1.0084,0,3
10000,13,484,516,1000,1,0.0492728,10,0.00513273,20033,20033,2,2,0.954179,0,4
10000,13,484,516,1000,1,0.108095,10,0.0875451,20033,20033,6,0,0.98117,0,6
10000,13,484,516,1000,1,0.119557,10,0.000158692,20033,20033,3,1,0.995176,0,4
10000,13,484,516,1000,1,-0.00329631,10,0.0854481,20033,20033,0,2,0.951008,0,2
10000,13,484,516,1000,1,-0.0454327,10,0.0628829,20033,20033,2,4,1.02823,0,6
10000,13,484,516,1000,1,0.196514,10,0.167136,20033,20033,4,0,0.965488,0,4
10000,13,484,516,1000,1,0.136186,10,0.0243486,20033,20033,2,1,1.03629,0,3
10000,13,484,516,1000,1,0.160809,10,0.0750813,20033,20033,1,2,0.977499,0,3
10000,13,484,516,1000,1,0.119557,10,0.0875451,20033,20033,1,0,1.02179,0,1
10000,13,484,516,1000,1,-0.154847,10,0.027604,20033,20033,2,1,1.0454,0,3
10000,13,484,516,1000,1,0.101937,10,0.0058084,20033,20033,2,4,0.990602,0,6
10000,13,484,516,1000,1,0.00242185,10,0.000158692,20033,20033,0,2,1.04146,0,2
10000,13,484,516,1000,1,0.000696136,10,0.000158692,20033,20033,1,1,0.982061,0,2
10000,13,484,516,1000,1,0.174337,10,0.00708825,20033,20033,3,2,0.978722,0,5
10000,13,484,516,1000,1,0.0956418,10,0.000158692,20033,20033,3,1,1.02898,0,4
10000,13,484,516,1000,1,0.263569,10,0.0392934,20033,20033,2,1,1.019,0,3
10000,13,484,516,1000,1,0.106293,10,0.0572636,20033,20033,3,0,1.01434,0,3
10000,13,484,516,1000,1,0.0390682,10,0.000158692,20033,20033,2,3,0.992205,0,5
10000,13,484,516,1000,1,0.214096,10,0.108802,20033,20033,2,0,0.978909,0,2
10000,13,484,516,1000,1,0.263569,10,0.00823353,20033,20033,3,3,1.03285,0,6
10000,13,484,516,1000,1,0.136186,10,0.0991574,20033,20033,3,1,1.00892,0,4
10000,13,484,516,1000,1,0.0647588,10,0.000158692,20033,20033,5,2,1.01939,0,7
10000,13,484,516,1000,1,0.00636154,10,0.0875451,20033,20033,1,1,1.02846,0,2
10000,13,484,516,1000,1,-0.0581083,10,0.000158692,20033,20033,8,0,1.0016,0,8
10000,13,484,516,1000,1,0.263569,10,0.0875451,20033,20033,1,1,0.987246,0,2
10000,13,484,516,1000,1,-0.0662748,10,0.0875451,20033,20033,1,1,1.00356,0,2
10000,13,484,516,1000,1,0.0202631,10,0.095927,20033,20033,7,2,1.00288,0,9
10000,13,484,516,1000,1,-0.0581083,10,0.000158692,20033,20033,0,3,1.03889,0,3
10000,13,484,516,1000,1,-0.154847,10,0.000158692,20033,20033,1,1,1.00604,0,2
10000,13,484,516,1000,1,0.122349,10,0.0604516,20033,20033,1,1,0.989102,0,2
10000,13,484,516,1000,1,0.0287021,10,0.0603968,20033,20033,4,0,1.04892,0,4
10000,13,484,516,1000,1,0.0492728,10,0.0875451,20033,20033,0,0,1.0399,0,0
10000,13,484,516,1000,1,0.122349,10,0.0750813,20033,20033,4,0,0.967313,0,4
10000,13,484,516,1000,1,0.0647588,10,0.00823353,20033,20033,1,0,1.01637,0,1
10000,13,484,516,1000,1,0.113457,10,0.0793354,20033,20033,3,1,1.02535,0,4
10000,13,484,516,1000,1,-0.00329631,10,0.0068991,20033,20033,1,2,1.00962,0,3
10000,13,484,516,1000,1,0.0647588,10,0.0572636,20033,20033,1,3,0.978094,0,4
10000,13,484,516,1000,1,0.148318,10,0.0523247,20033,20033,0,1,0.96728,0,1
10000,13,484,516,1000,1,-0.0581083,10,0.0338784,20033,20033,0,0,1.02787,0,0
10000,13,484,516,1000,1,0.0647588,10,0.0118938,20033,20033,4,1,0.996909,0,5
10000,13,484,516,1000,1,0.0390712,10,0.0750813,20033,20033,1,0,1.00545,0,1
10000,13,484,516,1000,1,0.000696136,10,0.167136,20033,20033,1,1,1.03261,0,2
10000,13,484,516,1000,1,-0.00329631,10,0.162525,20033,20033,4,2,1.01315,0,6
10000,13,484,516,1000,1,0.0492728,10,0.000158692,20033,20033,1,2,1.01512,0,3
10000,13,484,516,1000,1,0.165112,10,0.0721844,20033,20033,2,3,1.03676,0,5
10000,13,484,516,1000,1,-0.0454327,10,0.0567529,20033,20033,0,0,1.01704,0,0
10000,13,484,516,1000,1,0.263569,10,0.000158692,20033,20033,1,2,0.973841,0,3
10000,13,484,516,1000,1,0.0956418,10,0.00823353,20033,20033,0,0,0.97826,0,0
10000,13,484,516,1000,1,0.0390682,10,0.0604516,20033,20033,1,1,0.969994,0,2
10000,13,484,516,1000,1,0.0492728,10,0.0392934,20033,20033,2,0,1.00936,0,2
10000,13,484,516,1000,1,0.0390682,10,0.0604516,20033,20033,1,2,1.00136,0,3
10000,13,484,516,1000,1,-0.0581083,10,0.0567529,20033,20033,3,0,0.982442,0,3
10000,13,484,516,1000,1,0.263569,10,0.000158692,20033,20033,4,0,0.964303,0,4
10000,13,484,516,1000,1,0.263569,10,0.0793354,20033,20033,0,3,1.03007,0,3
10000,13,484,516,1000,1,-0.134088,10,0.0398704,20033,20033,2,5,0.987269,0,7
10000,13,484,516,1000,1,0.00636154,10,0.0991574,20033,20033,3,2,1.00496,0,5
10000,13,484,516,1000,1,0.00207355,10,0.00823353,20033,20033,1,0,1.02872,0,1
10000,13,484,516,1000,1,0.00242185,10,0.000158692,20033,20033,1,0,1.02857,0,1
10000,13,484,516,1000,1,0.0202631,10,0.0392934,20033,20033,2,0,0.984603,0,2
10000,13,484,516,1000,1,-0.0581083,10,0.0338784,20033,20033,5,0,1.04109,0,5
10000,13,484,516,1000,1,0.106293,10,0.0169897,20033,20033,4,0,1.03749,0,4
10000,13,484,516,1000,1,-0.0581083,10,0.043523,20033,20033,2,3,0.960138,0,5
10000,13,484,516,1000,1,0.108095,10,0.00642006,20033,20033,0,1,0.989609,0,1
10000,13,484,516,1000,1,0.0492728,10,0.0725366,20033,20033,1,0,0.952325,0,1
10000,13,484,516,1000,1,0.136186,10,0.00642006,20033,20033,1,1,0.978451,0,2
